question_id,subject,question,focus,type,answer
Q6,hypothyroidism,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,hypothyroidism,cause,"The thyroid gland is an important organ of the endocrine system. It is located at the front of the neck, just above where your collarbones meet. The thyroid makes hormones that control the way every cell in the body uses energy. This process is called metabolism.   Hypothyroidism is more common in women and people over age 50.  The most common cause of hypothyroidism is thyroiditis. Swelling and inflammation damage the thyroid gland's cells.   Causes of this problem include:   - The immune system attacking the thyroid gland  - Viral infections (common cold) or other respiratory infections  - Pregnancy (often called postpartum thyroiditis)    Other causes of hypothyroidism include:  - Certain medicines, such as lithium and amiodarone  - Congenital (birth) defects  - Radiation treatments to the neck or brain to treat different cancers  - Radioactive iodine used to treat an overactive thyroid gland  - Surgical removal of part or all of the thyroid gland  - Sheehan syndrome, a condition that may occur in a woman who bleeds severely during pregnancy or childbirth and causes the destruction of the pituitary gland  - Pituitary tumor or pituitary surgery"
Q6,hypothyroidism,Can you please send me as much information as possible on &quot;hypothyroidism&quot;. I was recently diagnosed with the disease and I am struggling to figure out what it is and how I got it. My name and address is: [NAME] [LOCATION] [CONTACT] Thank you in advance for your help!!!,hypothyroidism,cause,"Hypothyroidism has several causes, including                  - Hashimoto’s disease  - thyroiditis, or inflammation of the thyroid  - congenital hypothyroidism, or hypothyroidism that is present at birth  - surgical removal of part or all of the thyroid  - radiation treatment of the thyroid  - some medications                  Less commonly, hypothyroidism is caused by too much or too little iodine in the diet or by abnormalities of the pituitary gland.                  Hashimoto’s Disease                  Hashimoto’s disease, also called chronic lymphocytic thyroiditis, is the most common cause of hypothyroidism in the United States.1  Hashimoto’s disease is a form of chronic inflammation of the thyroid gland.  Hashimoto’s disease is also an autoimmune disorder.                  Normally, the immune system protects the body against foreign invaders—such as viruses and bacteria—that can cause illness.  But in autoimmune diseases, the immune system attacks the body’s own cells and organs.  With Hashimoto’s disease, the immune system attacks the thyroid, causing inflammation and interfering with its ability to produce thyroid hormones.                  More information is provided in the NIDDK health topic, Hashimoto’s Disease.                  Thyroiditis                  Thyroiditis causes stored thyroid hormone to leak out of the thyroid gland.  At first, the leakage raises hormone levels in the blood, leading to hyperthyroidism—when thyroid hormone levels are too high––that lasts for 1 or 2 months.  Most people then develop hypothyroidism before the thyroid is completely healed.                  Several types of thyroiditis can cause hyperthyroidism followed by hypothyroidism:                  - Subacute thyroiditis. This condition involves painful inflammation and enlargement of the thyroid.  Experts are not sure what causes subacute thyroiditis, but it may be related to a viral or bacterial infection.  The condition usually goes away on its own in a few months.  - Postpartum thyroiditis. This type of thyroiditis develops after a woman gives birth.  For more information, see the section titled “What happens with pregnancy and thyroid conditions?”  - Silent thyroiditis. This type of thyroiditis is called “silent” because it is painless, as is postpartum thyroiditis, even though the thyroid may be enlarged.  Like postpartum thyroiditis, silent thyroiditis is probably an autoimmune condition and sometimes develops into permanent hypothyroidism.                  Congenital Hypothyroidism                  Some babies are born with a thyroid that is not fully developed or does not function properly.  If untreated, congenital hypothyroidism can lead to mental retardation and growth failure.  Early treatment can prevent these complications, so most newborns in the United States are screened for hypothyroidism.                  Surgical Removal of the Thyroid                  When part of the thyroid is removed, the remaining part may produce normal amounts of thyroid hormone, but some people who have this surgery develop hypothyroidism.  Removal of the entire thyroid always results in hypothyroidism.                  Part or all of the thyroid may be surgically removed as a treatment for                  - hyperthyroidism  - a large goiter, which is an enlarged thyroid that may cause the neck to appear swollen and can interfere with normal breathing and swallowing  - thyroid nodules, which are noncancerous tumors, called adenomas, or lumps in the thyroid that can produce excess thyroid hormone  - thyroid cancer                  Radiation Treatment of the Thyroid                  Radioactive iodine, a common treatment for hyperthyroidism, gradually destroys the cells of the thyroid.  Most people who receive radioactive iodine treatment eventually develop hypothyroidism.  People with Hodgkin’s disease, other lymphomas, and head or neck cancers are treated with radiation, which can also damage the thyroid.                  Medications                  Some drugs can interfere with thyroid hormone production and lead to hypothyroidism, including                  - amiodarone, a heart medication  - interferon alpha, a cancer medication  - lithium, a bipolar disorder medication  - interleukin-2, a kidney cancer medication"
Q7,help about rabbies,"A street dog bit me five years ago, I take all the vaccine from very next day from biting, now on that spot where bite there was etching problem since few day, please guide me is there any problem will create in future if create is there any treatment for rabies.",rabies,treatment,"Clean the wound well with soap and water, and seek professional medical help. You will need a doctor to thoroughly clean the wound and remove any foreign objects. Most of the time, stitches should not be used for animal bite wounds.  If there is any risk of rabies, you will be given a series of a preventive vaccine. The vaccine is generally given in 5 doses over 28 days.  Most patients also receive a treatment called human rabies immunoglobulin (HRIG). This treatment is given the day the bite occurred.  Call your doctor right away after an animal bite or after being exposed to animals such as bats, foxes, and skunks. They may carry rabies.  - Call even when no bite took place.  - Immunization and treatment for possible rabies are recommended for at least up to 14 days after exposure or a bite.    There is no known effective treatment for people with symptoms of a rabies infection, but there have been a few reports of people surviving with experimental treatments."
Q8,,"Dear Sir/Madam  I'm [NAME] from [LOCATION], I'm 35 years old , I'd like to ask you a Medical Question as I've got an optic nerve atrophy in my eye and i lost my vision since i was 8 years old , Now I've got one eye just ,  So please is there treatment for optic nerve atrophy !  Please see the attachment which is a Medical report from [LOCATION],  Best Wishes  [NAME] ",optic nerve atrophy,treatment,"Damage from optic nerve atrophy cannot be reversed. The underlying disease must be found and treated. Otherwise, vision loss will continue.   Rarely, conditions that lead to optic atrophy may be treatable."
Q9,Night Blindness,When and how do you know when you have congenital night blindness?,congenital night blindness,symptom,"X-linked congenital stationary night blindness is a disorder of the retina, which is the specialized tissue at the back of the eye that detects light and color. People with this condition typically have difficulty seeing in low light (night blindness). They also have other vision problems, including loss of sharpness (reduced acuity), severe nearsightedness (high myopia), involuntary movements of the eyes (nystagmus), and eyes that do not look in the same direction (strabismus). Color vision is typically not affected by this disorder. The vision problems associated with this condition are congenital, which means they are present from birth. They tend to remain stable (stationary) over time. Researchers have identified two major types of X-linked congenital stationary night blindness: the complete form and the incomplete form. The types have very similar signs and symptoms. However, everyone with the complete form has night blindness, while not all people with the incomplete form have night blindness. The types are distinguished by their genetic cause and by the results of a test called an electroretinogram, which measures the function of the retina.
"
Q10,,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ",lewy body dementia,information,"Summary       Lewy body disease is one of the most common causes of dementia in the elderly. Dementia is the loss of mental functions severe enough to affect normal activities and relationships. Lewy body disease happens when abnormal structures, called Lewy bodies, build up in areas of the brain. The disease may cause a wide range of symptoms, including       - Changes in alertness and attention    - Hallucinations    - Problems with movement and posture    - Muscle stiffness    - Confusion    - Loss of memory       Lewy body disease can be hard to diagnose, because Parkinson's disease and Alzheimer's disease cause similar symptoms. Scientists think that Lewy body disease might be related to these diseases, or that they sometimes happen together.    Lewy body disease usually begins between the ages of 50 and 85. The disease gets worse over time. There is no cure. Treatment focuses on drugs to help symptoms.     NIH: National Institute of Neurological Disorders and Stroke"
Q10,,"Would appreciate any good info on Lewy Body Dementia, we need to get people aware of this dreadful disease, all they talk about is alzheimers.  Thank you ",lewy body dementia,information,"Lewy body dementia is one of the most common forms of progressive dementia. People affected by this condition may experience a variety of symptoms such as changes in alertness and attention; hallucinations; problems with movement and posture; muscle stiffness; confusion; and/or memory loss. Although the exact cause of Lewy body dementia is poorly understood, symptoms are thought to result when clumps of a protein called alpha-synuclein (""Lewy bodies"") accumulate in the brain. Lewy body dementia usually occurs sporadically in people with no family history of the condition. Rarely, more than one family member may be affected. There is currently no cure for Lewy body dementia; however, medications may be available to help manage the associated symptoms."
Q11,Maple Syrup Urine Disease,Gene changes or chromosomal changes of MSUD? What is the technical and simple language of MSUD? Are there any treatments for MSUD?,maple syrup urine disease,genetic changes,"Mutations in the BCKDHA, BCKDHB, and DBT genes can cause maple syrup urine disease. These three genes provide instructions for making proteins that work together as a complex. The protein complex is essential for breaking down the amino acids leucine, isoleucine, and valine, which are present in many kinds of food, particularly protein-rich foods such as milk, meat, and eggs.    Mutations in any of these three genes reduce or eliminate the function of the protein complex, preventing the normal breakdown of leucine, isoleucine, and valine. As a result, these amino acids and their byproducts build up in the body. Because high levels of these substances are toxic to the brain and other organs, their accumulation leads to the serious health problems associated with maple syrup urine disease."
Q11,Maple Syrup Urine Disease,Gene changes or chromosomal changes of MSUD? What is the technical and simple language of MSUD? Are there any treatments for MSUD?,maple syrup urine disease,treatment,"When the condition is diagnosed, and during episodes, treatment involves eating a protein-free diet. Fluids, sugars, and sometimes fats are given through a vein (IV). Dialysis through your belly or a vein can be done to reduce the level of abnormal substances in your blood.  Long-term treatment requires a special diet. For infants, the diet includes a formula with low levels of the amino acids leucine, isoleucine, and valine. People with this condition must remain on a diet low in these amino acids for life.  It is very important to always follow this diet to prevent nervous system (neurological) damage. This requires frequent blood tests and close supervision by a registered dietitian and physician, as well as cooperation by parents of children with the condition."
Q12,congenital diaphragmatic hernia,"I need to know if CDH can be passed down to future generations.  I just learned that this condition most likely caused the death of my first child back in 1971.  I was then told it was merely a fluke.  I had NO trauma during the full-term pregnancy, and I and my then husband were in very good health.  Now my son (from a different husband) and his wife are due to have fraternal twins in [DATE] 2015.  Does the term 'congenital' mean that it could be passed down to another generation?  I do not want to alarm my son and his wife.  I just would like to inform whatever pediatrician is caring for these babies as to my experience.  Unfortunately my son and I are estranged.  And I do not know who is their pediatrician.  My child's CDH was very severe.  I know there are far less severe cases that can go undetected &/or undiagnosed unless there is a reason to suspect such a condition.  Please respond to my concerns.",cdh,inheritance,"Isolated congenital diaphragmatic hernia is rarely inherited. In almost all cases, there is only one affected individual in a family.  When congenital diaphragmatic hernia occurs as a feature of a genetic syndrome or chromosomal abnormality, it may cluster in families according to the inheritance pattern for that condition."
Q13,about thalassemia treatment,"sir,my friend is suffering from thalassemia ,in that majorly red blood anemia,white blood anemia and the blood is comming out from mouth when she got cough .her condition is very severe .in her body the red ,white blood cells are abscent .so that blood transfusion is doing for every 16-20days.then in the recent days the blood also comming out from mouth please tell me where can i get the treatment for this disease .we can travel around the world for treatment please reply me as soon as possible. thank you sir.",thalassemia,treatment,"Treatment for thalassemia major often involves regular blood transfusions and folate supplements.  If you receive blood transfusions, you should not take iron supplements. Doing so can cause a high amount of iron to build up in the body, which can be harmful.  Persons who receive a lot of blood transfusions need a treatment called chelation therapy. This is done to remove excess iron from the body.  A bone marrow transplant may help treat the disease in some patients, especially children."
Q14,insomnia,"What can I give my [AGE] father to help him sleep? He said he will take whatever. He is not on any medication, not allergic to anything.  Fully ambilatory!",insomnia,treatment,"Lifestyle changes often can help relieve acute (short-term) insomnia. These changes might make it easier to fall asleep and stay asleep.                  A type of counseling called cognitive-behavioral therapy (CBT) can help relieve the anxiety linked to chronic (ongoing) insomnia. Anxiety tends to prolong insomnia.                  Several medicines also can help relieve insomnia and re-establish a regular sleep schedule. However, if your insomnia is the symptom or side effect of another problem, it's important to treat the underlying cause (if possible).                  Lifestyle Changes                  If you have insomnia, avoid substances that make it worse, such as:                  Caffeine, tobacco, and other stimulants. The effects of these substances can last as long as 8 hours.                  Certain over-the-counter and prescription medicines that can disrupt sleep (for example, some cold and allergy medicines). Talk with your doctor about which medicines won't disrupt your sleep.                  Alcohol. An alcoholic drink before bedtime might make it easier for you to fall asleep. However, alcohol triggers sleep that tends to be lighter than normal. This makes it more likely that you will wake up during the night.                  Try to adopt bedtime habits that make it easier to fall asleep and stay asleep. Follow a routine that helps you wind down and relax before bed. For example, read a book, listen to soothing music, or take a hot bath.                  Try to schedule your daily exercise at least 5 to 6 hours before going to bed. Don't eat heavy meals or drink a lot before bedtime.                  Make your bedroom sleep-friendly. Avoid bright lighting while winding down. Try to limit possible distractions, such as a TV, computer, or pet. Make sure the temperature of your bedroom is cool and comfortable. Your bedroom also should be dark and quiet.                  Go to sleep around the same time each night and wake up around the same time each morning, even on weekends. If you can, avoid night shifts, alternating schedules, or other things that may disrupt your sleep schedule.                  Cognitive-Behavioral Therapy                  CBT for insomnia targets the thoughts and actions that can disrupt sleep. This therapy encourages good sleep habits and uses several methods to relieve sleep anxiety.                  For example, relaxation techniques and biofeedback are used to reduce anxiety. These strategies help you better control your breathing, heart rate, muscles, and mood.                  CBT also aims to replace sleep anxiety with more positive thinking that links being in bed with being asleep. This method also teaches you what to do if you're unable to fall asleep within a reasonable time.                  CBT also may involve talking with a therapist one-on-one or in group sessions to help you consider your thoughts and feelings about sleep. This method may encourage you to describe thoughts racing through your mind in terms of how they look, feel, and sound. The goal is for your mind to settle down and stop racing.                  CBT also focuses on limiting the time you spend in bed while awake. This method involves setting a sleep schedule. At first, you will limit your total time in bed to the typical short length of time you're usually asleep.                  This schedule might make you even more tired because some of the allotted time in bed will be taken up by problems falling asleep. However, the resulting tiredness is intended to help you get to sleep more quickly. Over time, the length of time spent in bed is increased until you get a full night of sleep.                  For success with CBT, you may need to see a therapist who is skilled in this approach weekly over 2 to 3 months. CBT works as well as prescription medicine for many people who have chronic insomnia. It also may provide better long-term relief than medicine alone.                  For people who have insomnia and major depressive disorder, CBT combined with antidepression medicines has shown promise in relieving both conditions.                  Medicines                  Prescription Medicines                  Many prescription medicines are used to treat insomnia. Some are meant for short-term use, while others are meant for longer use.                  Talk to your doctor about the benefits and side effects of insomnia medicines. For example, insomnia medicines can help you fall asleep, but you may feel groggy in the morning after taking them.                  Rare side effects of these medicines include sleep eating, sleep walking, or driving while asleep. If you have side effects from an insomnia medicine, or if it doesn't work well, tell your doctor. He or she might prescribe a different medicine.                  Some insomnia medicines can be habit forming. Ask your doctor about the benefits and risks of insomnia medicines.                  Over-the-Counter Products                  Some over-the-counter (OTC) products claim to treat insomnia. These products include melatonin, L-tryptophan supplements, and valerian teas or extracts.                  The Food and Drug Administration doesn't regulate “natural” products and some food supplements. Thus, the dose and purity of these substances can vary. How well these products work and how safe they are isn't well understood.                  Some OTC products that contain antihistamines are sold as sleep aids. Although these products might make you sleepy, talk to your doctor before taking them.                  Antihistamines pose risks for some people. Also, these products may not offer the best treatment for your insomnia. Your doctor can advise you whether these products will benefit you."
Q15,You know Diabetes Insipidus?,I was born with Diabetes Insipidus and have many problems since the cell was removed when I was 22 and ALL,diabetes insipidus,information,Diabetes insipidus is an uncommon condition in which the kidneys are unable to prevent the excretion of water.
Q15,You know Diabetes Insipidus?,I was born with Diabetes Insipidus and have many problems since the cell was removed when I was 22 and ALL,diabetes insipidus,information,"Summary       Diabetes insipidus (DI) causes frequent urination. You become extremely thirsty, so you drink. Then you urinate. This cycle can keep you from sleeping or even make you wet the bed. Your body produces lots of urine that is almost all water.    DI is different from diabetes mellitus (DM), which involves insulin problems and high blood sugar. The symptoms can be similar. However, DI is related to how your kidneys handle fluids. It's much less common than DM. Urine and blood tests can show which one you have.    Usually, DI is caused by a problem with your pituitary gland or your kidneys. Treatment depends on the cause of the problem. Medicines can often help.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Q15,You know Diabetes Insipidus?,I was born with Diabetes Insipidus and have many problems since the cell was removed when I was 22 and ALL,diabetes insipidus,information,"Diabetes insipidus (DI) is a rare disease that causes frequent urination. The large volume of urine is diluted, mostly water. To make up for lost water, a person with DI may feel the need to drink large amounts and is likely to urinate frequently, even at night, which can disrupt sleep and, on occasion, cause bedwetting. Because of the excretion of abnormally large volumes of dilute urine, people with DI may quickly become dehydrated if they do not drink enough water. Children with DI may be irritable or listless and may have fever, vomiting, or diarrhea. Milder forms of DI can be managed by drinking enough water, usually between 2 and 2.5 liters a day. DI severe enough to endanger a person's health is rare. "
Q16,Anal Fissure,I may have a couple anal fissures and looking to speak with someone to get some information and support.,anal fissures,information,An anal fissure is a small split or tear in the thin moist tissue (mucosa) lining the lower rectum (anus).
Q17,ClinicalTrials.gov - Question - general information,"Hello, my dad, 68 years old, has gastritis,  it did ache occasionally over the last several years. The other day, he went to hospital to have medical check-up with endoscopic ultrasonography, and found GIST with about 1cm in size. Doctor told him that he may consider surgery or not, it is up to him. What are we supposed to do? will it develop to bad condition? any suggestions?  I 'm looking forward to your early reply. Thank you so much.",gist,information,"A gastrointestinal stromal tumor (GIST) is a type of tumor that occurs in the gastrointestinal tract, most commonly in the stomach or small intestine. The tumors are thought to grow from specialized cells found in the gastrointestinal tract called interstitial cells of Cajal (ICCs) or precursors to these cells. GISTs are usually found in adults between ages 40 and 70; rarely, children and young adults develop these tumors. The tumors can be cancerous (malignant) or noncancerous (benign).  Small tumors may cause no signs or symptoms. However, some people with GISTs may experience pain or swelling in the abdomen, nausea, vomiting, loss of appetite, or weight loss. Sometimes, tumors cause bleeding, which may lead to low red blood cell counts (anemia) and, consequently, weakness and tiredness. Bleeding into the intestinal tract may cause black and tarry stools, and bleeding into the throat or stomach may cause vomiting of blood.  Affected individuals with no family history of GIST typically have only one tumor (called a sporadic GIST). People with a family history of GISTs (called familial GISTs) often have multiple tumors and additional signs or symptoms, including noncancerous overgrowth (hyperplasia) of other cells in the gastrointestinal tract and patches of dark skin on various areas of the body. Some affected individuals have a skin condition called urticaria pigmentosa (also known as cutaneous mastocytosis), which is characterized by raised patches of brownish skin that sting or itch when touched."
Q17,ClinicalTrials.gov - Question - general information,"Hello, my dad, 68 years old, has gastritis,  it did ache occasionally over the last several years. The other day, he went to hospital to have medical check-up with endoscopic ultrasonography, and found GIST with about 1cm in size. Doctor told him that he may consider surgery or not, it is up to him. What are we supposed to do? will it develop to bad condition? any suggestions?  I 'm looking forward to your early reply. Thank you so much.",gist,treatment,"For patients with primary, localized gastrointestinal stromal tumors, surgery with complete excision is the treatment of choice.[1] However, surgery has limited efficacy in the treatment of recurrent and metastatic gastrointestinal stromal tumors. These tumors are also resistant to both chemotherapy and radiotherapy. In the pre-imatinib era, the 5-year survival rate after the surgical resection of gastrointestinal stromal tumors was only 43%–80% as there was really no efficient method to cure the disease.[2] The addition of imatinib as part of the treatment of unresectable or recurrent gastrointestinal stromal tumors has improved the management of this condition and resulted in improved patient survival.[1][2] Last updated: 4/27/2010  FDA-Approved Treatments The medication(s) listed below have been approved by the Food and Drug Administration (FDA) as orphan products for treatment of this condition. Learn more orphan products.      Imatinib mesylate (Brand name: Gleevec®) - Manufactured by Novartis Pharmaceuticals Corp.     FDA-approved indication: Treatment of patients with Kit (CD117) positive unresectable and/or metastatic malignant gastrointestinal stromal tumors (GIST)     National Library of Medicine Drug Information Portal     Regorafenib (Brand name: Stivarga) - Manufactured by Bayer HealthCare Pharmaceuticals, Inc.     FDA-approved indication: Treatment of patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (GIST) who have been previously treated with imatinib mesylate and sunitinib malate.     National Library of Medicine Drug Information Portal     Medline Plus Health Information     Pazopanib (Brand name: Votrient) - Manufactured by GlaxoSmithKline     FDA-approved indication: Advanced soft tissue sarcoma (STS) who have received prior chemotherapy.     National Library of Medicine Drug Information Portal     Medline Plus Health Information  "
